time,leek_price,onion__price,onion_whole_price,leek_whole_price,mt,mlt,mht,mm,dmm,ms,rh,sun,solar,g_onion_area,g_onion_output,onion_area,onion_output,barley_area,barley_output,total.cpi,b.cpi,vege.cpi,g.onion.cpi,onion.cpi,disel.cpi,onion_export,onion_import,onion_exp.amo,onion_imp.amo,leek_export,leek_import,leek_exp.amo,leek_imp.amo,seasonal,20ago_sea,60ago_sea,120ago_sea,240ago_sea,trend,20ago_tre,60ago_tre,120ago_tre,240ago_tre,remainder,1ago_rem,2ago_rem,3ago_rem,4ago_rem,5ago_rem,6ago_rem,7ago_rem,8ago_rem,9ago_rem,10ago_rem,11ago_rem,12ago_rem,13ago_rem,14ago_rem,15ago_rem,16ago_rem,17ago_rem,18ago_rem,19ago_rem,20ago_rem,40ago_rem,60ago_rem,120ago_rem,240ago_rem
2000-11-11,1100,800,500,700,4.7,10.2,-0.1,0,3.8,2.1,58,6.5,10.3,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-136.0683287,-10.52770579,41.95164369,-13.74008771,-87.2275619,1051.372636,1069.098207,1081.072806,1052.099373,964.3286401,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,-58.57050118,177.6868791,426.9755501,11.64071478,22.8989218
2000-11-13,1100,850,500,700,5.6,13,0.2,0,0,1.3,65,7.1,10.51,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-122.0912547,-11.1065812,41.6636875,-10.50990289,-111.865181,1050.367004,1068.689343,1081.539932,1052.602879,965.1611112,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,192.8111831,226.7963807,7.907023754,46.70406978
2000-11-14,1100,850,500,700,7.4,14,1.3,0,0,1.1,65,3.3,7.43,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-132.5903044,-25.69196399,70.51884741,-34.46544025,-126.691991,1049.361371,1068.28048,1082.007057,1053.106385,965.9935823,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,106.5941581,197.4740951,31.35905489,60.69840875
2000-11-15,1050,850,500,700,9.3,12.6,6.2,1.5,8.3,1.7,69,0.4,4.52,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-125.3794987,-42.98939405,97.05141924,-30.33800289,-98.59776495,1048.355739,1067.871616,1082.474183,1053.609892,966.8260534,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,87.06537286,120.4743977,26.72811132,-18.22828842
2000-11-16,1050,850,500,600,8.2,10.1,6.7,12,67.1,2.7,81,0,1.5,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-114.175249,-55.8999683,163.1488073,-25.84267146,-83.85915301,1047.350107,1067.462752,1082.941309,1054.113398,967.6585245,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,82.92930299,53.90988403,21.72927367,-33.79937144
2000-11-17,1050,850,500,600,7.1,10.4,3.8,0.5,11.7,2.5,71,3.3,5.71,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-105.5566708,-34.83021851,109.6105805,-40.51444457,-77.3598066,1046.344475,1066.45712,1083.408434,1054.616904,968.4909955,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,83.63706727,106.9809851,35.89754056,-41.13118894
2000-11-18,1050,850,500,600,4.3,10.6,-0.5,0,0.5,1.9,56,8.5,11.73,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-101.6523782,-57.56999253,79.24946207,-53.23808666,-86.27586898,1045.338842,1065.451488,1082.999571,1055.12041,969.3234666,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,80.2972125,487.7509672,48.11767643,-33.04759765
2000-11-20,1050,850,500,600,7.2,10,4.6,16.5,40.9,3,76,0.2,2.1,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-95.93856191,-72.30976656,60.98358169,-70.11810191,-86.003711,1044.33321,1064.445856,1082.590707,1055.623916,970.1559377,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,164.7668815,406.4257112,64.49418547,65.84777328
2000-11-21,1050,850,500,600,2.3,6.2,-2.3,0,0,3.3,49,7.5,10.82,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-96.36760273,-35.33525486,108.2415108,-84.76002193,-74.44007556,1043.327578,1063.440223,1082.181843,1056.127423,970.9884088,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,159.3794077,359.5766457,78.63259926,53.45166676
2000-11-22,1050,850,500,700,1.4,9.6,-4.8,0,0,1.3,59,8.5,11.63,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-106.7966435,-48.45598127,73.30896378,-94.64003718,-27.53535576,1042.321946,1062.434591,1081.77298,1056.630929,971.8208799,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,181.6109815,344.9180564,138.0091083,5.71447587
2000-11-23,1050,850,550,700,4.4,13,-2.4,0,0.2,1.2,63,7.4,9.94,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-87.03520816,-51.52908862,53.09070245,-100.2343382,-25.37281832,1041.316313,1061.428959,1081.364116,1057.134435,972.653351,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,205.9854125,365.5451814,143.099903,2.719467341
2000-11-24,1050,850,550,700,6.3,14.2,0.6,0,0,1.1,69,4.5,7.93,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-75.27377279,-45.03076741,21.11053635,-132.8286391,-36.21028088,1040.310681,1060.423326,1080.955253,1057.637941,973.4858221,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,250.4074625,397.9342111,175.1906978,-37.27554119
2000-11-25,1050,850,550,800,7.7,16.3,2.2,0,0,1.2,70,7.1,9.44,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-108.8456707,-89.19911286,2.225608348,-134.7562734,-10.57155296,1039.305049,1059.417694,1080.546389,1058.141448,974.3182932,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,187.0676077,417.2280028,176.6148259,-63.74674019
2000-11-27,1050,850,550,700,4.3,9.4,0.1,0.2,12.9,2.7,50,7.7,11.06,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-67.89375918,-81.84364878,41.24544225,-99.39819344,-24.12330124,1038.299416,1058.412062,1080.137525,1058.644954,975.1507642,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,107.0610863,1228.617033,140.7532397,-51.02746301
2000-11-28,1000,850,550,600,2.6,9.5,-2.4,0,9.1,1.6,53,7.8,10.27,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-87.2275619,-80.6786609,96.12241901,-80.70678012,-36.05600189,1037.293784,1057.40643,1079.728662,1059.14846,975.9832353,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,78.95932674,1674.148919,121.5583201,-39.92723344
2000-11-29,850,850,550,600,3,9.7,-3.4,0,0.3,1.6,56,7.8,10.11,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-111.865181,-93.97348561,86.57082434,-68.96774776,-31.51251207,1036.288152,1056.400797,1079.319798,1059.651966,976.8157064,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,125.9181724,834.1093777,109.3157816,54.69680565
2000-11-30,850,850,550,500,5.6,9.9,1.6,0.4,13.8,1.1,66,0.7,4.46,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-126.691991,-129.6331126,89.30885477,-24.70490587,-16.39759368,1035.28252,1055.395165,1078.910934,1060.155472,977.6481775,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,174.2379474,127.5602463,331.7802109,64.54943345,38.74941617
2000-12-01,850,850,550,500,5.8,13.6,0.5,0.1,5,1.3,72,6.6,9.03,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-98.59776495,-138.0563748,34.18407626,-35.89152187,-1.52077052,1034.276887,1054.389533,1078.502071,1060.658979,978.4806486,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,183.6668419,139.2057093,137.3138531,75.23254324,73.04012193
2000-12-02,850,850,550,500,6.6,14.3,0.2,0,0.5,1.2,65,5.8,8.35,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-83.85915301,-130.1053772,49.88732558,-50.8232788,10.64176692,1033.271255,1053.383901,1078.093207,1061.162485,979.3131197,-99.4121021,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,176.7214766,107.2018863,122.0194674,89.66079396,60.0451134
2000-12-04,900,850,550,500,2.1,9.7,-4.5,0,4.5,1.7,49,8.4,10.86,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-77.3598066,-129.1317875,51.48269229,-26.23970022,14.23287579,1032.265623,1052.378268,1077.684343,1061.665991,980.1455908,-54.90581624,-99.4121021,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,176.7535192,119.3491929,170.8329643,14.57370916,55.62153344
2000-12-05,900,850,550,500,4.2,9.6,-1.3,0.1,1.1,3.1,52,7.7,9.87,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-86.27586898,-136.0683287,95.03764118,-24.68426005,7.089755839,1031.259991,1051.372636,1077.27548,1062.169497,980.9780619,-44.98412158,-54.90581624,-99.4121021,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,184.6956927,-58.57050118,177.6868791,-37.48523724,61.9321823
2000-12-06,900,850,550,500,1.1,7.9,-4,0,0.9,1.6,51,7.1,9.2,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-86.003711,-122.0912547,80.32220083,6.020581356,3.973795313,1030.254358,1050.367004,1076.866616,1062.673004,981.8105329,-44.25064729,-44.98412158,-54.90581624,-99.4121021,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,171.7242509,-57.58276212,192.8111831,31.30641514,64.21567174
2000-12-07,900,850,550,500,3,10.6,-3.2,0,1.1,1.1,55,5.1,7.3,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-74.44007556,-132.5903044,66.94808945,122.0701031,-20.28720934,1029.248726,1049.361371,1076.457752,1063.17651,982.643004,-54.80865046,-44.25064729,-44.98412158,-54.90581624,-99.4121021,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,183.2289329,-42.5885157,106.5941581,14.75338721,87.64420531
2000-12-08,900,850,550,500,4.9,13.1,-0.8,0,0.1,1.2,64,6.8,8.5,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-27.53535576,-125.3794987,86.88573831,121.67053,-65.84668064,1028.243094,1048.355739,1076.048889,1063.680016,983.4754751,-100.707738,-54.80865046,-44.25064729,-44.98412158,-54.90581624,-99.4121021,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,127.0237595,-24.88222199,87.06537286,14.64945401,132.3712055
2000-12-09,900,850,550,500,5.6,14.9,-1,0,3.8,1,65,6.5,8.48,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-25.37281832,-114.175249,91.43067182,141.4523474,-41.57814766,1026.834223,1047.350107,1075.640025,1064.183522,984.3079462,-101.4614043,-100.707738,-54.80865046,-44.25064729,-44.98412158,-54.90581624,-99.4121021,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,116.8251421,38.4372159,82.92930299,-5.63586957,107.2702015
2000-12-11,900,850,550,500,-3.5,0,-6.9,0,0.8,4.1,37,7.7,10.19,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-36.21028088,-105.5566708,91.13177118,123.9707638,-43.17722346,1025.425351,1046.344475,1075.231162,1064.687028,985.1404173,-89.21507059,-101.4614043,-100.707738,-54.80865046,-44.25064729,-44.98412158,-54.90581624,-99.4121021,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,109.2121961,18.37309838,83.63706727,11.34220787,108.0368062
2000-12-12,850,850,550,600,-3.7,1.4,-9.2,0,0.9,2.6,45,7.8,9.97,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-10.57155296,-101.6523782,94.88048958,122.7704299,-33.20193986,1024.01648,1045.338842,1074.822298,1065.190535,985.9728884,-163.4449274,-89.21507059,-101.4614043,-100.707738,-54.80865046,-44.25064729,-44.98412158,-54.90581624,-99.4121021,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,106.3135358,42.11850468,80.2972125,12.03903554,97.22905148
2000-12-13,850,850,550,600,0.3,6.5,-4.5,0.2,5.7,1.5,64,6,7.85,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-24.12330124,-95.93856191,60.81968418,117.9510449,-10.74151755,1022.607609,1044.33321,1074.413434,1065.65766,986.8053595,-148.484308,-163.4449274,-89.21507059,-101.4614043,-100.707738,-54.80865046,-44.25064729,-44.98412158,-54.90581624,-99.4121021,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,101.6053518,57.86391097,164.7668815,16.39129489,73.93615808
2000-12-14,850,850,550,600,2.1,8.9,-3.8,0.2,8.5,1.3,69,5.8,7.35,13539.33333,387647.3333,16131,935828,45683,209824,67.104,74.312,48.832,46.015,50.649,51.459,2,472,3,60,1,1.1,3,1,-36.05600189,-96.36760273,66.61602164,89.89356465,-13.88476399,1021.198738,1043.327578,1074.004571,1066.124786,987.6378306,-135.1427362,-148.484308,-163.4449274,-89.21507059,-101.4614043,-100.707738,-54.80865046,-44.25064729,-44.98412158,-54.90581624,-99.4121021,-85.67912244,-58.59052863,-74.42297096,49.9337777,79.5943427,119.540622,84.96309176,95.71889487,114.474698,103.0400249,21.89503155,159.3794077,43.98164948,76.24693343
